Order,Property Name,Parent Property Id,Parent Property Name,Street Number,Street Name,Borough,Primary Property Type - Self Selected,List of All Property Use Types at Property,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft²),2nd Largest Property Use Type,2nd Largest Property Use - Gross Floor Area (ft²),3rd Largest Property Use Type,3rd Largest Property Use Type - Gross Floor Area (ft²),Year Built,Occupancy,Metered Areas (Energy),Metered Areas  (Water),ENERGY STAR Score,Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),District Steam Use (kBtu),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Water Use (All Water Sources) (kgal),DOF Benchmarking Submission Status
1,The Argonaut Building,,,Not found,Not found,Manhattan,Office,"Bank Branch, Office",Office,164754.0,Bank Branch,4662.0,,,1909,95.0,Whole Building,Whole Building,90.0,138.4,141.0,53.8,56.2,11.3,0.1,,,,,,1133475.1,1435754.7,16672.2,6551394.1,1920103.6,732.4,76.3,656.1,3635.5,Not found
3,Cathedral Preparatory Seminary,,,Not found,Not found,Queens,K-12 School,K-12 School,K-12 School,94380.0,,,,,1963,100.0,Whole Building,,100.0,43.5,46.8,28.4,31.3,2.0,0.2,,,,,,,2068300.1,23243.7,616343.7,184131.9,164.5,109.9,54.6,102.9,Not found
4,The Nomad Hotel,,,Not found,Not found,Manhattan,Hotel,Hotel,Hotel,125000.0,,,,,1999,85.0,Whole Building,Whole Building,83.0,271.1,274.7,130.2,133.7,18.8,0.7,,,,,,,8245445.1,86776.9,8033914.4,2354605.3,1150.2,438.0,712.3,10762.6,Not found
5,10 West 27 Street Corp,,,Not found,Not found,Manhattan,Hotel,Hotel,Hotel,50000.0,,,,,1994,100.0,Whole Building,,27.0,163.0,167.9,76.5,80.8,11.7,0.4,,,,,,,1848519.4,20520.9,1976691.9,582516.1,273.4,98.2,175.3,790.1,Not found
6,Westbury Realty,,,Not found,Not found,Manhattan,Hotel,Hotel,Hotel,50000.0,,,,,2012,0.0,Whole Building,Whole Building,99.0,64.2,64.2,20.5,20.5,6.0,,,,,,,,,,1022951.6,299809.9,90.7,0.0,90.7,143.0,Not found
7,Union Temple,,,Not found,Not found,Brooklyn,Worship Facility,"Office, Other, Other - Recreation, Worship Facility",Worship Facility,28086.0,Other - Recreation,28006.0,Office,9134.0,1925,100.0,Whole Building,,,61.3,,38.9,,,,,,2092618.0,,,,,,755416.8,,224.5,157.6,67.0,1380.0,Not found
8,155 West 66th Street Condominium,,,Not found,Not found,Manhattan,Hotel,"Hotel, Non-Refrigerated Warehouse, Other, Supermarket/Grocery Store",Hotel,120780.0,Supermarket/Grocery Store,13799.0,Non-Refrigerated Warehouse,4455.0,1999,100.0,Whole Building,Tenant areas (all energy loads),,243.4,244.6,117.7,120.1,15.5,0.1,,,,,,7195772.2,1902140.0,19893.7,7622453.3,2198465.5,1254.6,101.0,1153.6,2641.6,Not found
9,38-20 Bowne Street Flushing,,,Not found,Not found,Queens,Multifamily Housing,Other - Lodging/Residential,Other - Lodging/Residential,193975.0,,,,,1975,100.0,Whole Building,Whole Building,,169.1,176.6,53.9,56.2,16.5,,,,,,,,,,10446179.3,3197137.7,926.2,0.0,926.2,18570.4,Not found
10,Queens- Queen Grand Realty,,,Not found,Not found,Queens,Distribution Center,Distribution Center,Distribution Center,200000.0,,,,,1950,100.0,Whole Building,Whole Building,37.0,99.2,103.2,42.4,45.4,7.8,0.2,,,,,,,3243162.2,37728.7,5234449.5,1556499.9,636.3,172.3,464.1,1003.2,Not found
11,989 East 149th,"6224246, 6224246","955/989, 955/989",Not found,Not found,Bronx,Distribution Center,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,150000.0,,,,,1977,100.0,Whole Building,Whole Building,100.0,8.9,10.1,8.5,9.6,,0.1,,,,,,,1277797.0,14365.1,,,67.9,67.9,0.0,521.6,Not found
12,955 East 149th,"6224246, 6224246","955/989, 955/989",Not found,Not found,Bronx,Distribution Center,"Distribution Center, Refrigerated Warehouse",Distribution Center,190000.0,Refrigerated Warehouse,190000.0,,,1969,100.0,Whole Building,Whole Building,,10.3,12.0,9.8,11.4,,0.1,,,,,,,3725146.9,43309.5,,,197.9,197.9,0.0,404.3,Not found
13,MBD Brooklyn,,,Not found,Not found,Brooklyn,Refrigerated Warehouse,Refrigerated Warehouse,Refrigerated Warehouse,721396.0,,,,,1931,100.0,Whole Building,Whole Building,97.0,62.1,61.7,53.1,52.7,0.9,0.5,,,,,,,36084400.2,357799.8,2204474.6,646094.5,2112.1,1916.6,195.4,2400.0,Not found
15,810 Humboldt St.,,,Not found,Not found,Brooklyn,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,80000.0,,,,,1963,100.0,Whole Building,Whole Building,,38.3,38.8,15.6,16.0,3.1,0.0,,,,,,,250272.9,2887.9,844769.9,247587.9,88.2,13.3,74.9,1654.6,Not found
16,1155 Manhattan Ave.,,,Not found,Not found,Brooklyn,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,360000.0,,,,,1868,100.0,Whole Building,Whole Building,,31.0,30.9,10.2,10.2,2.8,0.0,,,,,,,0.0,0.0,3481604.7,1020399.8,309.6,0.0,309.6,1572.0,Not found
17,810 Humboldt St.,,,Not found,Not found,Brooklyn,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,80000.0,,,,,1963,100.0,Whole Building,Whole Building,,38.3,38.8,15.6,16.0,3.1,0.0,,,,,,,250272.9,2887.9,844769.9,247587.9,88.2,13.3,74.9,1654.6,Not found
18,1155 Manhattan Ave.,,,Not found,Not found,Brooklyn,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,360000.0,,,,,1868,100.0,Whole Building,Whole Building,,31.0,30.9,10.2,10.2,2.8,0.0,,,,,,,0.0,0.0,3481604.7,1020399.8,309.6,0.0,309.6,1572.0,Not found
19,Jopin Realty,,,Not found,Not found,Queens,Multifamily Housing,Multifamily Housing,Multifamily Housing,61950.0,,,,,1930,100.0,Whole Building,Whole Building,,93.5,,69.9,,,,,,,,,,3738819.4,,593831.1,,251.2,198.6,52.6,,Not found
20,Bronx Center for Rehab,,,Not found,Not found,Bronx,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),64600.0,,,,,1950,100.0,Whole Building,Whole Building,100.0,382.1,,161.4,,,,,,,,,,3857735.8,,6571546.6,,787.5,204.9,582.6,8782.2,Not found
21,Centers FC,,,Not found,Not found,Bronx,Office,Office,Office,69851.0,,,,,1905,100.0,Whole Building,,100.0,0.8,,0.6,,,,,,,,,,35678.6,,6410.0,,2.5,1.9,0.6,424.9,Not found
22,Carroll Place,,,Not found,Not found,Bronx,Multifamily Housing,Multifamily Housing,Multifamily Housing,68240.0,,,,,1936,100.0,Whole Building,Whole Building,100.0,135.4,,102.4,,,,,,,,,,6081852.7,,908795.5,,403.6,323.0,80.6,,Not found
23,Fashion Tower,,,Not found,Not found,Manhattan,Office,"Office, Retail Store",Office,99117.0,Retail Store,8092.0,,,1923,100.0,Whole Building,Whole Building,94.0,112.2,,49.0,,8.5,0.0,,,2095950.5,,,,396.8,4.5,3158235.2,912068.0,437.8,157.8,280.0,1690.4,Not found
